bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,a1b908b52210369cde2e953281d7b98b862ec672,19998781c35b4f68a509f6b630f4815392769f38,983,https://sourceforge.net/p/jfreechart/bugs/983
10,4ec8d7c2a21218aef06946262ae33d4ca2e91d83,3c01d6426e7c3bad2bfd3ea6d4645644fe36904e,UNKNOWN,UNKNOWN
12,ce7b0375a70fddec9b4da46ce028434dbecac8bc,abd98c7bf320b4224ab61359b73fdcbcb517a0ad,213,https://sourceforge.net/p/jfreechart/patches/213
13,22a16d1029dddc1735c8f7e97e061b1abf8c92d8,7d10866f34bb6bd1eef8a1ab50f210adf0fd52cc,UNKNOWN,UNKNOWN
20,38a289435530ac21325a22804a8b5bfe2fb2e1bb,0729f818d543b46669c2c586af381cada81f99ad,UNKNOWN,UNKNOWN
24,91f7c842282774be49a5f128469878879a2ae3ae,fdb1ad7a3bf7e9a6390b9de9a71a9ced0147c09d,UNKNOWN,UNKNOWN
2,44c42fc887edf4670220ccd2400f3a4e0b157b86,576271449635c531076567f8ad4cd16d99bf9a4f,959,https://sourceforge.net/p/jfreechart/bugs/959
3,cf48acfb770d9a06c6a5a76aa86bb378e44a6ac6,00ebcc5861de750aed428905c6f1b0f7134e1a54,UNKNOWN,UNKNOWN
5,085c69911ec6594da4648c503c7457a507a1ad5d,7200b5a59931a5929952542929bb551053457e22,862,https://sourceforge.net/p/jfreechart/bugs/862
7,95d2f1ad2644328c39c6481d159eecea0b44ddf9,4582dd6659c1a38fc84f3ad46628f4003acdfe32,UNKNOWN,UNKNOWN
8,71afeabd172edb15d95f125b8a59783edc923362,6e70e821a0aa8b1dd4c905fa1d51f85b4d941067,UNKNOWN,UNKNOWN
9,0ca96cca00ddff278ff210945425df060b5eb5c7,5e9c71aac26d533bd99c13f70d8c0e195d28865c,818,https://sourceforge.net/p/jfreechart/bugs/818
11,1024,1025,868,https://sourceforge.net/p/jfreechart/bugs/868
4,2182,2183,UNKNOWN,UNKNOWN
6,1164,1166,UNKNOWN,UNKNOWN
14,76a5e79e4663a86a6133481309277b3afcac14ff,114ce73a5abb47971fcf059a8f18d829cbadea24,UNKNOWN,UNKNOWN
15,747,749,UNKNOWN,UNKNOWN
16,93455d3590cbec6f326cd9ecf6f140b623a72c5b,b68343769b3137ce1ef061bdbe771ae74180e5b3,834,https://sourceforge.net/p/jfreechart/bugs/834
17,5781e44de5993e648e3ab535967c4bc830eb7152,757d2c3ff32deafbe971c36d4532dd2167d7644c,803,https://sourceforge.net/p/jfreechart/bugs/803
18,757d2c3ff32deafbe971c36d4532dd2167d7644c,c6f74e5b249b72becb3e44e2ba5da5d97e07d549,UNKNOWN,UNKNOWN
19,a7acfdb91cb5123ce9c77436f14942dce9341379,d87b84c2948ac986d7ac61030c696ecdd72cff37,UNKNOWN,UNKNOWN
21,c5d6a2ccd9e4122b11a3c4406c0a0a9a39eaaa2f,738b6bc564beddbb40a46d3a5fad3089f7e43ea6,UNKNOWN,UNKNOWN
22,b6953876b997c584dd4a605cbf9014511adea2bc,6ecb0253b1308c96b9547f8b25375727ef28a526,UNKNOWN,UNKNOWN
23,5f4942080ebb474030e2e1518cfd75d66940f323,8b4e5e727b0b5d1ad74b85116f6455cca0be2514,UNKNOWN,UNKNOWN
25,4d905213d173fd36361611494e1abe1a5512af32,3444dce49e30a4bcad864115d64d2c7656fc04a3,UNKNOWN,UNKNOWN
26,102,103,UNKNOWN,UNKNOWN
