Bug_ID,Project,Bug_Number,Category,Change_Pattern,Blame_Suitable,Feasibility_Ratio,Total_Additions,Total_Deletions
Gson_1,Gson,1,SFMH,mix,1,0.02,1,41
Gson_2,Gson,2,SFMH,mix,1,0.07,1,13
Gson_3,Gson,3,SFMH,mix,1,0.06,1,17
Gson_4,Gson,4,MFMH,pure_addition,1,0.68,19,9
Gson_5,Gson,5,SL,pure_deletion,0,0.00,0,1
Gson_6,Gson,6,SFMH,pure_deletion,0,0.00,0,2
Gson_7,Gson,7,SFMH,mix,1,0.17,2,10
Gson_8,Gson,8,SFMH,pure_deletion,0,0.00,0,13
Gson_9,Gson,9,MFMH,mix,1,0.20,4,16
Gson_10,Gson,10,SH,mix,1,0.50,2,2
Gson_11,Gson,11,SL,pure_deletion,0,0.00,0,1
Gson_12,Gson,12,SFMH,pure_deletion,0,0.00,0,4
Gson_13,Gson,13,SL,mix,1,0.50,1,1
Gson_14,Gson,14,SFMH,pure_deletion,0,0.00,0,8
Gson_15,Gson,15,SL,mix,1,0.50,1,1
Gson_16,Gson,16,SFMH,pure_deletion,0,0.00,0,5
Gson_17,Gson,17,SH,mix,1,0.40,2,3
Gson_18,Gson,18,SFMH,pure_deletion,0,0.00,0,3
JacksonXml_1,JacksonXml,1,SFMH,mix,1,0.33,4,8
JacksonXml_2,JacksonXml,2,SFMH,mix,1,0.04,1,27
JacksonXml_3,JacksonXml,3,SFMH,pure_addition,1,0.67,2,1
JacksonXml_4,JacksonXml,4,SFMH,mix,1,0.17,1,5
JacksonXml_5,JacksonXml,5,SL,mix,1,0.50,1,1
JacksonXml_6,JacksonXml,6,SFMH,pure_deletion,0,0.00,0,66
JxPath_1,JxPath,1,MFMH,mix,1,0.40,2,3
JxPath_2,JxPath,2,SFMH,mix,1,0.09,1,10
JxPath_3,JxPath,3,SFMH,mix,1,0.06,1,15
JxPath_4,JxPath,4,MFMH,mix,1,0.46,28,33
JxPath_5,JxPath,5,SH,pure_addition,1,0.75,3,1
JxPath_6,JxPath,6,SFMH,mix,1,0.17,2,10
JxPath_7,JxPath,7,MFMH,mix,1,0.18,16,75
JxPath_8,JxPath,8,SFMH,pure_deletion,0,0.00,0,6
JxPath_9,JxPath,9,MFMH,mix,1,0.46,22,26
JxPath_10,JxPath,10,SL,mix,1,0.50,1,1
JxPath_11,JxPath,11,MFMH,mix,1,0.12,2,15
JxPath_12,JxPath,12,SH,mix,1,0.33,1,2
JxPath_13,JxPath,13,MFMH,mix,1,0.33,24,48
JxPath_14,JxPath,14,SFMH,pure_deletion,0,0.00,0,9
JxPath_15,JxPath,15,SFMH,mix,1,0.20,2,8
JxPath_16,JxPath,16,MFMH,pure_addition,1,0.60,3,2
JxPath_17,JxPath,17,MFMH,mix,1,0.61,14,9
JxPath_18,JxPath,18,SFMH,mix,1,0.24,5,16
JxPath_19,JxPath,19,MFMH,mix,1,0.25,6,18
JxPath_20,JxPath,20,SFMH,mix,1,0.09,1,10
JxPath_21,JxPath,21,SH,mix,1,0.33,1,2
JxPath_22,JxPath,22,SFMH,mix,1,0.50,3,3
Chart_1,Chart,1,SL,mix,1,0.50,1,1
Chart_2,Chart,2,SFMH,pure_deletion,0,0.00,0,14
Chart_3,Chart,3,SH,pure_deletion,0,0.00,0,2
Chart_4,Chart,4,SFMH,pure_deletion,0,0.00,0,2
Chart_5,Chart,5,SFMH,mix,1,0.17,1,5
Chart_6,Chart,6,SH,mix,1,0.11,1,8
Chart_7,Chart,7,MFMH,mix,1,0.50,2,2
Chart_8,Chart,8,SL,mix,1,0.50,1,1
Chart_9,Chart,9,SL,mix,1,0.50,1,1
Chart_10,Chart,10,SL,mix,1,0.50,1,1
Chart_11,Chart,11,SL,mix,1,0.50,1,1
Chart_12,Chart,12,SL,mix,1,0.50,1,1
Chart_13,Chart,13,SL,mix,1,0.50,1,1
Chart_14,Chart,14,MFMH,pure_deletion,0,0.00,0,12
Chart_15,Chart,15,SFMH,pure_deletion,0,0.00,0,5
Chart_16,Chart,16,SFMH,mix,1,0.50,3,3
Chart_17,Chart,17,SH,mix,1,0.33,1,2
Chart_18,Chart,18,MFMH,mix,1,0.21,3,11
Chart_19,Chart,19,SFMH,pure_deletion,0,0.00,0,6
Chart_20,Chart,20,SL,mix,1,0.50,1,1
Chart_21,Chart,21,SFMH,pure_deletion,0,0.00,0,39
Chart_22,Chart,22,SFMH,mix,1,0.09,3,32
Chart_23,Chart,23,SH,pure_deletion,0,0.00,0,19
Chart_24,Chart,24,SL,mix,1,0.50,1,1
Chart_25,Chart,25,SFMH,mix,1,0.12,2,14
Chart_26,Chart,26,SFMH,pure_deletion,0,0.00,0,2
Math_1,Math,1,MFMH,pure_deletion,0,0.00,0,6
Math_2,Math,2,SL,mix,1,0.50,1,1
Math_3,Math,3,SFMH,pure_deletion,0,0.00,0,3
Math_4,Math,4,MFMH,pure_deletion,0,0.00,0,6
Math_5,Math,5,SL,mix,1,0.50,1,1
Math_6,Math,6,MFMH,mix,1,0.53,16,14
Math_7,Math,7,SFMH,mix,1,0.53,9,8
Math_8,Math,8,SFMH,mix,1,0.50,2,2
Math_9,Math,9,SH,mix,1,0.33,1,2
Math_10,Math,10,SL,pure_deletion,0,0.00,0,1
Math_11,Math,11,SL,mix,1,0.50,1,1
Math_12,Math,12,SFMH,mix,1,0.20,1,4
Math_13,Math,13,SFMH,pure_deletion,0,0.00,0,9
Math_14,Math,14,MFMH,mix,1,0.29,4,10
Math_15,Math,15,SFMH,mix,1,0.33,1,2
Math_16,Math,16,SFMH,mix,1,0.09,2,21
Math_17,Math,17,SFMH,pure_deletion,0,0.00,0,4
Math_18,Math,18,SFMH,mix,1,0.40,4,6
Math_19,Math,19,SH,pure_deletion,0,0.00,0,13
Math_20,Math,20,SH,mix,1,0.33,1,2
Math_21,Math,21,SFMH,mix,1,0.43,10,13
Math_22,Math,22,MFMH,mix,1,0.50,2,2
Math_23,Math,23,SFMH,mix,1,0.18,2,9
Math_24,Math,24,SFMH,mix,1,0.50,2,2
Math_25,Math,25,SFMH,pure_deletion,0,0.00,0,3
Math_26,Math,26,SFMH,mix,1,0.50,2,2
Math_27,Math,27,SL,mix,1,0.50,1,1
Math_28,Math,28,SFMH,pure_deletion,0,0.00,0,4
Math_29,Math,29,SFMH,mix,1,0.21,4,15
Math_30,Math,30,SL,mix,1,0.50,1,1
Math_31,Math,31,SFMH,pure_addition,1,0.72,33,13
Math_32,Math,32,SL,mix,1,0.50,1,1
Math_33,Math,33,SL,mix,1,0.50,1,1
Math_34,Math,34,SL,mix,1,0.50,1,1
Math_35,Math,35,SFMH,mix,1,0.50,2,2
Math_36,Math,36,SFMH,pure_deletion,0,0.00,0,12
Math_37,Math,37,SFMH,mix,1,0.12,2,14
Math_38,Math,38,SFMH,mix,1,0.50,4,4
Math_39,Math,39,SH,pure_deletion,0,0.00,0,9
Math_40,Math,40,SFMH,mix,1,0.20,2,8
Math_41,Math,41,SL,mix,1,0.50,1,1
Math_42,Math,42,SFMH,mix,1,0.25,1,3
Math_43,Math,43,SFMH,mix,1,0.50,3,3
Math_44,Math,44,SFMH,mix,1,0.14,1,6
Math_45,Math,45,SH,pure_deletion,0,0.00,0,5
Math_46,Math,46,SFMH,mix,1,0.50,2,2
Math_47,Math,47,SFMH,mix,1,0.38,3,5
Math_48,Math,48,SH,pure_deletion,0,0.00,0,3
Math_49,Math,49,SFMH,mix,1,0.50,4,4
Math_50,Math,50,SH,pure_addition,1,1.00,4,0
Math_51,Math,51,SFMH,pure_deletion,0,0.00,0,9
Math_52,Math,52,SFMH,mix,1,0.43,3,4
Math_53,Math,53,SH,pure_deletion,0,0.00,0,3
Math_54,Math,54,SFMH,mix,1,0.12,1,7
Math_55,Math,55,SFMH,mix,1,0.05,1,18
Math_56,Math,56,SH,pure_addition,1,0.88,7,1
Math_57,Math,57,SL,mix,1,0.50,1,1
Math_58,Math,58,SL,mix,1,0.50,1,1
Math_59,Math,59,SL,mix,1,0.50,1,1
Math_60,Math,60,SFMH,pure_addition,1,0.77,10,3
Math_61,Math,61,SFMH,mix,1,0.50,2,2
Math_62,Math,62,SFMH,pure_addition,1,0.57,4,3
Math_63,Math,63,SL,mix,1,0.50,1,1
Math_64,Math,64,SFMH,mix,1,0.27,8,22
Math_65,Math,65,SFMH,pure_addition,1,0.78,7,2
Math_66,Math,66,SFMH,pure_addition,1,0.67,22,11
Math_67,Math,67,SFMH,mix,1,0.50,2,2
Math_68,Math,68,SFMH,mix,1,0.14,2,12
Math_69,Math,69,SL,mix,1,0.50,1,1
Math_70,Math,70,SL,mix,1,0.50,1,1
Math_71,Math,71,MFMH,pure_deletion,0,0.00,0,7
Math_72,Math,72,SFMH,mix,1,0.50,2,2
Math_73,Math,73,SH,pure_deletion,0,0.00,0,4
Math_74,Math,74,SFMH,mix,1,0.36,4,7
Math_75,Math,75,SL,mix,1,0.50,1,1
Math_76,Math,76,SFMH,mix,1,0.36,8,14
Math_77,Math,77,MFMH,pure_addition,1,0.91,10,1
Math_78,Math,78,SFMH,pure_deletion,0,0.00,0,11
Math_79,Math,79,SFMH,mix,1,0.50,2,2
Math_80,Math,80,SL,mix,1,0.50,1,1
Math_81,Math,81,SFMH,mix,1,0.43,3,4
Math_82,Math,82,SL,mix,1,0.50,1,1
Math_83,Math,83,SFMH,mix,1,0.50,3,3
Math_84,Math,84,SFMH,pure_deletion,0,0.00,0,9
Math_85,Math,85,SL,mix,1,0.50,1,1
Math_86,Math,86,SFMH,mix,1,0.50,3,3
Math_87,Math,87,SFMH,pure_addition,1,0.67,4,2
Math_88,Math,88,SFMH,pure_addition,1,0.55,6,5
Math_89,Math,89,SFMH,pure_deletion,0,0.00,0,4
Math_90,Math,90,SFMH,pure_deletion,0,0.00,0,3
